type,sensor,value,timestamp
"watt","meanPerHour",217,1437130811
"watt","meanPerHour",407,1437134460
"watt","meanPerHour",281,1437138002
"watt","meanPerHour",357,1437141645
"watt","meanPerHour",205,1437145241
"watt","meanPerHour",226,1437148805
"watt","meanPerHour",182,1437152455
"watt","meanPerHour",224,1437156042
"watt","meanPerHour",1076,1437159630
"watt","meanPerHour",1056,1437163227
"watt","meanPerHour",1292,1437166817
"watt","meanPerHour",2577,1437170527
"watt","meanPerHour",2072,1437174003
"watt","meanPerHour",238,1437177678
"watt","meanPerHour",191,1437181244
"watt","meanPerHour",188,1437184835
"watt","meanPerHour",173,1437188502
"watt","meanPerHour",193,1437192092
"watt","meanPerHour",158,1437195606
"watt","meanPerHour",196,1437199255
"watt","meanPerHour",499,1437202889
"watt","meanPerHour",369,1437206403
"watt","meanPerHour",189,1437210069
"watt","meanPerHour",668,1437213671
"watt","meanPerHour",458,1437217203
"watt","meanPerHour",262,1437220845
"watt","meanPerHour",330,1437224451
"watt","meanPerHour",353,1437228006
"watt","meanPerHour",389,1437231692
"watt","meanPerHour",241,1437235214
"watt","meanPerHour",196,1437238809
"watt","meanPerHour",158,1437242406
"watt","meanPerHour",196,1437246102
"watt","meanPerHour",152,1437249658
"watt","meanPerHour",1113,1437253247
"watt","meanPerHour",1940,1437256923
"watt","sumPerDay",0,1437256923
"watt","meanPerHour",227,1437260401
"watt","meanPerHour",158,1437264047
"watt","meanPerHour",190,1437267786
"watt","meanPerHour",168,1437271213
"watt","meanPerHour",181,1437274808
"watt","meanPerHour",181,1437278421
"watt","meanPerHour",151,1437282020
"watt","meanPerHour",187,1437285614
"watt","meanPerHour",155,1437289203
"watt","meanPerHour",172,1437292876
"watt","meanPerHour",172,1437296428
"watt","meanPerHour",153,1437300004
"watt","meanPerHour",204,1437303659
"watt","meanPerHour",220,1437307211
"watt","meanPerHour",335,1437310858
"watt","meanPerHour",260,1437314557
"watt","meanPerHour",291,1437318057
"watt","meanPerHour",700,1437321621
"watt","meanPerHour",886,1437325209
"watt","meanPerHour",2469,1437328801
"watt","meanPerHour",1442,1437332449
"watt","meanPerHour",528,1437336053
"watt","sumPerDay",30360,1405202802
"watt","sumPerDay",15456,1405288924
"watt","sumPerDay",16896,1405375221
"watt","sumPerDay",10440,1405461689
"watt","sumPerDay",16272,1405548018
"watt","sumPerDay",11736,1405634414
"watt","sumPerDay",14808,1405720807
"watt","sumPerDay",12336,1405807243
"watt","sumPerDay",10920,1405893611
"watt","sumPerDay",14280,1405980148
"watt","sumPerDay",13176,1406066405
"watt","sumPerDay",13464,1406152801
"watt","sumPerDay",12264,1406239206
"watt","sumPerDay",13464,1406325704
"watt","sumPerDay",10848,1406412000
"watt","sumPerDay",10344,1406498488
"watt","sumPerDay",11616,1406584810
"watt","sumPerDay",11496,1406671244
"watt","sumPerDay",10632,1406757807
"watt","sumPerDay",9888,1406844043
"watt","sumPerDay",11544,1406930761
"watt","sumPerDay",15864,1407016816
"watt","sumPerDay",13776,1407103293
"watt","sumPerDay",9600,1407189724
"watt","sumPerDay",13176,1407276001
"watt","sumPerDay",14448,1407362413
"watt","sumPerDay",13632,1407448831
"watt","sumPerDay",13944,1407535215
"watt","sumPerDay",6672,1407621612
"watt","sumPerDay",5832,1407708069
"watt","sumPerDay",10680,1407794450
"watt","sumPerDay",11448,1407880829
"watt","sumPerDay",5520,1407967233
"watt","sumPerDay",4632,1408053614
"watt","sumPerDay",4368,1408140002
"watt","sumPerDay",4200,1408226412
"watt","sumPerDay",4584,1408312921
"watt","sumPerDay",4752,1408399264
"watt","sumPerDay",4632,1408485602
"watt","sumPerDay",4896,1408572001
"watt","sumPerDay",4344,1408658409
"watt","sumPerDay",4848,1408744933
"watt","sumPerDay",4584,1408831243
"watt","sumPerDay",4512,1408917606
"watt","sumPerDay",4728,1409004117
"watt","sumPerDay",7680,1409090519
"watt","sumPerDay",13464,1409176810
"watt","sumPerDay",19416,1409263213
"watt","sumPerDay",20832,1409349751
"watt","sumPerDay",18504,1409436085
"watt","sumPerDay",15696,1409522400
"watt","sumPerDay",19920,1409608804
"watt","sumPerDay",15720,1409695227
"watt","sumPerDay",13152,1409781619
"watt","sumPerDay",15288,1409868009
"watt","sumPerDay",13824,1409954504
"watt","sumPerDay",14424,1410040946
"watt","sumPerDay",16536,1410127212
"watt","sumPerDay",15672,1410213610
"watt","sumPerDay",12120,1410300000
"watt","sumPerDay",12288,1410386514
"watt","sumPerDay",13512,1410472848
"watt","sumPerDay",19128,1410559207
"watt","sumPerDay",15024,1410645661
"watt","sumPerDay",16536,1410732021
"watt","sumPerDay",14040,1410818408
"watt","sumPerDay",12072,1410904832
"watt","sumPerDay",16176,1410991234
"watt","sumPerDay",14856,1411077603
"watt","sumPerDay",14400,1411164064
"watt","sumPerDay",14040,1411250406
"watt","sumPerDay",17280,1411336806
"watt","sumPerDay",11688,1411423208
"watt","sumPerDay",14232,1411509645
"watt","sumPerDay",14112,1411596064
"watt","sumPerDay",13848,1411682414
"watt","sumPerDay",13536,1411768860
"watt","sumPerDay",11664,1411855231
"watt","sumPerDay",20040,1411941763
"watt","sumPerDay",15528,1412028037
"watt","sumPerDay",13896,1412114460
"watt","sumPerDay",13512,1412200853
"watt","sumPerDay",12096,1412287359
"watt","sumPerDay",12120,1412373708
"watt","sumPerDay",8064,1412460014
"watt","sumPerDay",10728,1412546520
"watt","sumPerDay",14232,1412632945
"watt","sumPerDay",16488,1412719235
"watt","sumPerDay",12576,1412805660
"watt","sumPerDay",12456,1412892016
"watt","sumPerDay",13680,1412978439
"watt","sumPerDay",14280,1413064805
"watt","sumPerDay",18816,1413151222
"watt","sumPerDay",19800,1413237642
"watt","sumPerDay",15672,1413324035
"watt","sumPerDay",19992,1413410405
"watt","sumPerDay",18024,1413496824
"watt","sumPerDay",19368,1413583203
"watt","sumPerDay",18528,1413669630
"watt","sumPerDay",19080,1413756025
"watt","sumPerDay",22248,1413842472
"watt","sumPerDay",19776,1413928800
"watt","sumPerDay",34968,1414015259
"watt","sumPerDay",32256,1414101658
"watt","sumPerDay",34224,1414188013
"watt","sumPerDay",39840,1414274431
"watt","sumPerDay",29664,1414364445
