value,hour,day,month,year
217.0,13,5,7,2015
407.0,14,5,7,2015
281.0,15,5,7,2015
357.0,16,5,7,2015
205.0,17,5,7,2015
226.0,18,5,7,2015
182.0,19,5,7,2015
224.0,20,5,7,2015
1076.0,21,5,7,2015
1056.0,22,5,7,2015
1292.0,23,5,7,2015
2577.0,0,6,7,2015
2072.0,1,6,7,2015
238.0,2,6,7,2015
191.0,3,6,7,2015
188.0,4,6,7,2015
173.0,5,6,7,2015
193.0,6,6,7,2015
158.0,7,6,7,2015
196.0,8,6,7,2015
499.0,9,6,7,2015
369.0,10,6,7,2015
189.0,11,6,7,2015
668.0,12,6,7,2015
458.0,13,6,7,2015
262.0,14,6,7,2015
330.0,15,6,7,2015
353.0,16,6,7,2015
389.0,17,6,7,2015
241.0,18,6,7,2015
196.0,19,6,7,2015
158.0,20,6,7,2015
196.0,21,6,7,2015
152.0,22,6,7,2015
1113.0,23,6,7,2015
1940.0,0,7,7,2015
227.0,1,7,7,2015
158.0,2,7,7,2015
190.0,3,7,7,2015
168.0,4,7,7,2015
181.0,5,7,7,2015
181.0,6,7,7,2015
151.0,7,7,7,2015
187.0,8,7,7,2015
155.0,9,7,7,2015
172.0,10,7,7,2015
172.0,11,7,7,2015
153.0,12,7,7,2015
204.0,13,7,7,2015
220.0,14,7,7,2015
335.0,15,7,7,2015
260.0,16,7,7,2015
291.0,17,7,7,2015
700.0,18,7,7,2015
886.0,19,7,7,2015
2469.0,20,7,7,2015
1442.0,21,7,7,2015
528.0,22,7,7,2015
475.0,21,6,7,2014
269.0,22,6,7,2014
1400.0,23,6,7,2014
2486.0,0,7,7,2014
2483.0,1,7,7,2014
2009.0,2,7,7,2014
168.0,3,7,7,2014
165.0,4,7,7,2014
172.0,5,7,7,2014
177.0,6,7,7,2014
483.0,7,7,7,2014
637.0,8,7,7,2014
227.0,9,7,7,2014
250.0,10,7,7,2014
840.0,11,7,7,2014
622.0,12,7,7,2014
1027.0,13,7,7,2014
909.0,14,7,7,2014
324.0,15,7,7,2014
196.0,16,7,7,2014
177.0,17,7,7,2014
172.0,18,7,7,2014
229.0,19,7,7,2014
221.0,20,7,7,2014
202.0,21,7,7,2014
210.0,22,7,7,2014
1218.0,23,7,7,2014
2343.0,0,1,7,2014
2363.0,1,1,7,2014
2391.0,2,1,7,2014
618.0,3,1,7,2014
167.0,4,1,7,2014
180.0,5,1,7,2014
173.0,6,1,7,2014
162.0,7,1,7,2014
165.0,8,1,7,2014
281.0,9,1,7,2014
228.0,10,1,7,2014
298.0,11,1,7,2014
183.0,12,1,7,2014
178.0,13,1,7,2014
173.0,14,1,7,2014
161.0,15,1,7,2014
289.0,16,1,7,2014
1369.0,17,1,7,2014
920.0,18,1,7,2014
496.0,19,1,7,2014
1550.0,20,1,7,2014
426.0,21,1,7,2014
271.0,22,1,7,2014
1208.0,23,1,7,2014
2525.0,0,2,7,2014
673.0,1,2,7,2014
182.0,2,2,7,2014
172.0,3,2,7,2014
163.0,4,2,7,2014
166.0,5,2,7,2014
177.0,6,2,7,2014
446.0,7,2,7,2014
200.0,8,2,7,2014
176.0,9,2,7,2014
171.0,10,2,7,2014
159.0,11,2,7,2014
159.0,12,2,7,2014
160.0,13,2,7,2014
171.0,14,2,7,2014
167.0,15,2,7,2014
163.0,16,2,7,2014
161.0,17,2,7,2014
220.0,18,2,7,2014
167.0,19,2,7,2014
247.0,20,2,7,2014
183.0,21,2,7,2014
1729.0,22,2,7,2014
1523.0,23,2,7,2014
2604.0,0,3,7,2014
2470.0,1,3,7,2014
1406.0,2,3,7,2014
193.0,3,3,7,2014
193.0,4,3,7,2014
186.0,5,3,7,2014
888.0,6,3,7,2014
1445.0,7,3,7,2014
223.0,8,3,7,2014
232.0,9,3,7,2014
239.0,10,3,7,2014
225.0,11,3,7,2014
256.0,12,3,7,2014
360.0,13,3,7,2014
294.0,14,3,7,2014
315.0,15,3,7,2014
272.0,16,3,7,2014
236.0,17,3,7,2014
242.0,18,3,7,2014
226.0,19,3,7,2014
503.0,20,3,7,2014
706.0,21,3,7,2014
228.0,22,3,7,2014
2215.0,23,3,7,2014
3261.0,0,4,7,2014
1828.0,1,4,7,2014
190.0,2,4,7,2014
176.0,3,4,7,2014
183.0,4,4,7,2014
169.0,5,4,7,2014
172.0,6,4,7,2014
399.0,7,4,7,2014
628.0,8,4,7,2014
383.0,9,4,7,2014
246.0,10,4,7,2014
221.0,11,4,7,2014
211.0,12,4,7,2014
220.0,13,4,7,2014
385.0,14,4,7,2014
228.0,15,4,7,2014
179.0,16,4,7,2014
190.0,17,4,7,2014
242.0,18,4,7,2014
211.0,19,4,7,2014
208.0,20,4,7,2014
796.0,21,4,7,2014
245.0,22,4,7,2014
