value,hour,day,month,year
30360.0,0,7,7,2014
15456.0,0,1,7,2014
16896.0,0,2,7,2014
10440.0,0,3,7,2014
16272.0,0,4,7,2014
11736.0,0,5,7,2014
14808.0,0,6,7,2014
12336.0,0,7,7,2014
10920.0,0,1,7,2014
14280.0,0,2,7,2014
13176.0,0,3,7,2014
13464.0,0,4,7,2014
12264.0,0,5,7,2014
13464.0,0,6,7,2014
10848.0,0,7,7,2014
10344.0,0,1,7,2014
11616.0,0,2,7,2014
11496.0,0,3,7,2014
10632.0,0,4,7,2014
9888.0,0,5,8,2014
11544.0,0,6,8,2014
15864.0,0,7,8,2014
13776.0,0,1,8,2014
9600.0,0,2,8,2014
13176.0,0,3,8,2014
14448.0,0,4,8,2014
13632.0,0,5,8,2014
13944.0,0,6,8,2014
6672.0,0,7,8,2014
5832.0,0,1,8,2014
10680.0,0,2,8,2014
11448.0,0,3,8,2014
5520.0,0,4,8,2014
4632.0,0,5,8,2014
4368.0,0,6,8,2014
4200.0,0,7,8,2014
4584.0,0,1,8,2014
4752.0,0,2,8,2014
4632.0,0,3,8,2014
4896.0,0,4,8,2014
4344.0,0,5,8,2014
4848.0,0,6,8,2014
4584.0,0,7,8,2014
4512.0,0,1,8,2014
4728.0,0,2,8,2014
7680.0,0,3,8,2014
13464.0,0,4,8,2014
19416.0,0,5,8,2014
20832.0,0,6,8,2014
18504.0,0,7,8,2014
15696.0,0,1,9,2014
19920.0,0,2,9,2014
15720.0,0,3,9,2014
13152.0,0,4,9,2014
15288.0,0,5,9,2014
13824.0,0,6,9,2014
14424.0,0,7,9,2014
16536.0,0,1,9,2014
15672.0,0,2,9,2014
12120.0,0,3,9,2014
12288.0,0,4,9,2014
13512.0,0,5,9,2014
19128.0,0,6,9,2014
15024.0,0,7,9,2014
16536.0,0,1,9,2014
14040.0,0,2,9,2014
12072.0,0,3,9,2014
16176.0,0,4,9,2014
14856.0,0,5,9,2014
14400.0,0,6,9,2014
14040.0,0,7,9,2014
17280.0,0,1,9,2014
11688.0,0,2,9,2014
14232.0,0,3,9,2014
14112.0,0,4,9,2014
13848.0,0,5,9,2014
13536.0,0,6,9,2014
11664.0,0,7,9,2014
20040.0,0,1,9,2014
15528.0,0,2,9,2014
13896.0,0,3,10,2014
13512.0,0,4,10,2014
12096.0,0,5,10,2014
12120.0,0,6,10,2014
8064.0,0,7,10,2014
10728.0,0,1,10,2014
14232.0,0,2,10,2014
16488.0,0,3,10,2014
12576.0,0,4,10,2014
12456.0,0,5,10,2014
13680.0,0,6,10,2014
14280.0,0,7,10,2014
18816.0,0,1,10,2014
19800.0,0,2,10,2014
15672.0,0,3,10,2014
19992.0,0,4,10,2014
18024.0,0,5,10,2014
19368.0,0,6,10,2014
18528.0,0,7,10,2014
19080.0,0,1,10,2014
22248.0,0,2,10,2014
19776.0,0,3,10,2014
34968.0,0,4,10,2014
32256.0,0,5,10,2014
34224.0,0,6,10,2014
39840.0,0,7,10,2014
29664.0,0,1,10,2014
34632.0,0,2,10,2014
36240.0,0,3,10,2014
32664.0,0,4,10,2014
28464.0,0,5,10,2014
29160.0,0,6,11,2014
28824.0,0,7,11,2014
35016.0,0,1,11,2014
30624.0,0,2,11,2014
37344.0,0,3,11,2014
44928.0,0,4,11,2014
39792.0,0,5,11,2014
40440.0,0,6,11,2014
42456.0,0,7,11,2014
39792.0,0,1,11,2014
47952.0,0,2,11,2014
41208.0,0,3,11,2014
36576.0,0,4,11,2014
39144.0,0,5,11,2014
38160.0,0,6,11,2014
34152.0,0,7,11,2014
32184.0,0,1,11,2014
32304.0,0,2,11,2014
46944.0,0,3,11,2014
43752.0,0,4,11,2014
41088.0,0,5,11,2014
42480.0,0,6,11,2014
38856.0,0,7,11,2014
36576.0,0,1,11,2014
35976.0,0,2,11,2014
42000.0,0,3,11,2014
29352.0,0,4,11,2014
31200.0,0,5,11,2014
25440.0,0,6,11,2014
50136.0,0,7,11,2014
56520.0,0,1,12,2014
48768.0,0,2,12,2014
56400.0,0,3,12,2014
58272.0,0,4,12,2014
54240.0,0,5,12,2014
64176.0,0,6,12,2014
55920.0,0,7,12,2014
56928.0,0,1,12,2014
54240.0,0,2,12,2014
55944.0,0,3,12,2014
48192.0,0,4,12,2014
43824.0,0,5,12,2014
40944.0,0,6,12,2014
48384.0,0,7,12,2014
48792.0,0,1,12,2014
65208.0,0,2,12,2014
47688.0,0,3,12,2014
37128.0,0,4,12,2014
39672.0,0,5,12,2014
43368.0,0,6,12,2014
46968.0,0,7,12,2014
50856.0,0,1,12,2014
45720.0,0,2,12,2014
37848.0,0,3,12,2014
44832.0,0,4,12,2014
38328.0,0,5,12,2014
48960.0,0,6,12,2014
54624.0,0,7,12,2014
78168.0,0,1,12,2014
80736.0,0,2,12,2014
67680.0,0,3,12,2014
66216.0,0,4,1,2015
66984.0,0,5,1,2015
65616.0,0,6,1,2015
51480.0,0,7,1,2015
45312.0,0,1,1,2015
55704.0,0,2,1,2015
61152.0,0,3,1,2015
59448.0,0,4,1,2015
44760.0,0,5,1,2015
40392.0,0,6,1,2015
38736.0,0,7,1,2015
44064.0,0,1,1,2015
40176.0,0,2,1,2015
35088.0,0,3,1,2015
39888.0,0,4,1,2015
36240.0,0,5,1,2015
47688.0,0,6,1,2015
59400.0,0,7,1,2015
58608.0,0,1,1,2015
52920.0,0,2,1,2015
65256.0,0,3,1,2015
66672.0,0,4,1,2015
68328.0,0,5,1,2015
82056.0,0,6,1,2015
69264.0,0,7,1,2015
65112.0,0,1,1,2015
47592.0,0,2,1,2015
43584.0,0,3,1,2015
40416.0,0,4,1,2015
46056.0,0,5,1,2015
59496.0,0,6,1,2015
68640.0,0,7,2,2015
87792.0,0,1,2,2015
66024.0,0,2,2,2015
70464.0,0,3,2,2015
94416.0,0,4,2,2015
76056.0,0,5,2,2015
92304.0,0,6,2,2015
77304.0,0,7,2,2015
72864.0,0,1,2,2015
66384.0,0,2,2,2015
64680.0,0,3,2,2015
55944.0,0,4,2,2015
54480.0,0,5,2,2015
45336.0,0,6,2,2015
52560.0,0,7,2,2015
51888.0,0,1,2,2015
43608.0,0,2,2,2015
44328.0,0,3,2,2015
45528.0,0,4,2,2015
49152.0,0,5,2,2015
51432.0,0,6,2,2015
53808.0,0,7,2,2015
57672.0,0,1,2,2015
45408.0,0,2,2,2015
39840.0,0,3,2,2015
36768.0,0,4,2,2015
29376.0,0,5,2,2015
30936.0,0,6,2,2015
37632.0,0,7,3,2015
22704.0,0,1,3,2015
32592.0,0,2,3,2015
32640.0,0,3,3,2015
25728.0,0,4,3,2015
27120.0,0,5,3,2015
27912.0,0,6,3,2015
39144.0,0,7,3,2015
24960.0,0,1,3,2015
25536.0,0,2,3,2015
22464.0,0,3,3,2015
27120.0,0,4,3,2015
27312.0,0,5,3,2015
30288.0,0,6,3,2015
36192.0,0,7,3,2015
34968.0,0,1,3,2015
27888.0,0,2,3,2015
26040.0,0,3,3,2015
24312.0,0,4,3,2015
33120.0,0,5,3,2015
38928.0,0,6,3,2015
45000.0,0,7,3,2015
41280.0,0,1,3,2015
31200.0,0,2,3,2015
38496.0,0,3,3,2015
38016.0,0,4,3,2015
45072.0,0,5,3,2015
41136.0,0,6,3,2015
42816.0,0,7,3,2015
36168.0,0,1,3,2015
27024.0,0,2,3,2015
26520.0,0,3,4,2015
27816.0,0,4,4,2015
27672.0,0,5,4,2015
34368.0,0,6,4,2015
38064.0,0,7,4,2015
38232.0,0,1,4,2015
34152.0,0,2,4,2015
25512.0,0,3,4,2015
24192.0,0,4,4,2015
18816.0,0,5,4,2015
17736.0,0,6,4,2015
19368.0,0,7,4,2015
22176.0,0,1,4,2015
21648.0,0,2,4,2015
11040.0,0,3,4,2015
14232.0,0,4,4,2015
13680.0,0,5,4,2015
13800.0,0,6,4,2015
18456.0,0,7,4,2015
18624.0,0,1,4,2015
15696.0,0,2,4,2015
14352.0,0,3,4,2015
12624.0,0,4,4,2015
11928.0,0,5,4,2015
20352.0,0,6,4,2015
16296.0,0,7,4,2015
18888.0,0,1,4,2015
17160.0,0,2,4,2015
15456.0,0,3,4,2015
16440.0,0,4,4,2015
7872.0,0,5,5,2015
4344.0,0,6,5,2015
5640.0,0,7,5,2015
11880.0,0,1,5,2015
15624.0,0,2,5,2015
14280.0,0,3,5,2015
17352.0,0,4,5,2015
18888.0,0,5,5,2015
19176.0,0,6,5,2015
15864.0,0,7,5,2015
8112.0,0,1,5,2015
16320.0,0,2,5,2015
11544.0,0,3,5,2015
15504.0,0,4,5,2015
17904.0,0,5,5,2015
13512.0,0,6,5,2015
11784.0,0,7,5,2015
14616.0,0,1,5,2015
16728.0,0,2,5,2015
14064.0,0,3,5,2015
11088.0,0,4,5,2015
16320.0,0,5,5,2015
19152.0,0,6,5,2015
8784.0,0,7,5,2015
15816.0,0,1,5,2015
18000.0,0,2,5,2015
15624.0,0,3,5,2015
11496.0,0,4,5,2015
15576.0,0,5,5,2015
14040.0,0,6,5,2015
17568.0,0,7,5,2015
12048.0,0,1,6,2015
11544.0,0,2,6,2015
14184.0,0,3,6,2015
11592.0,0,4,6,2015
11088.0,0,5,6,2015
17088.0,0,6,6,2015
16272.0,0,7,6,2015
16608.0,0,1,6,2015
13872.0,0,2,6,2015
14112.0,0,3,6,2015
11424.0,0,4,6,2015
15672.0,0,5,6,2015
10056.0,0,6,6,2015
13464.0,0,7,6,2015
17208.0,0,1,6,2015
12024.0,0,2,6,2015
8856.0,0,3,6,2015
15048.0,0,4,6,2015
10800.0,0,5,6,2015
13536.0,0,6,6,2015
17472.0,0,7,6,2015
12600.0,0,1,6,2015
15072.0,0,2,6,2015
13440.0,0,3,6,2015
12000.0,0,4,6,2015
12072.0,0,5,6,2015
18096.0,0,6,6,2015
19416.0,0,7,6,2015
19152.0,0,1,6,2015
13200.0,0,2,6,2015
12456.0,0,3,7,2015
12432.0,0,4,7,2015
14136.0,0,5,7,2015
10872.0,0,6,7,2015
14832.0,0,7,7,2015
14195.17,0,1,7,2015
11242.14,0,2,7,2015
11087.28,0,3,7,2015
13037.0,0,1,7,2015
14412.0,0,2,7,2015
11239.0,0,3,7,2015
12271.0,0,4,7,2015
11664.0,0,5,7,2015
10735.0,0,6,7,2015
9571.0,0,7,7,2015
7000.0,0,1,7,2015
11210.0,0,2,7,2015
11190.0,0,3,7,2015
12495.0,0,4,7,2015
8991.0,0,5,7,2015
10261.0,0,6,8,2015
15330.0,0,7,8,2015
15926.0,0,1,8,2015
11277.0,0,2,8,2015
9836.0,0,3,8,2015
11844.0,0,4,8,2015
4788.0,0,6,8,2015
4434.0,0,7,8,2015
4103.0,0,1,8,2015
4224.0,0,2,8,2015
4512.0,0,3,8,2015
4433.0,0,4,8,2015
4432.0,0,5,8,2015
4457.0,0,6,8,2015
4343.0,0,7,8,2015
4484.0,0,1,8,2015
4226.0,0,2,8,2015
4126.0,0,3,8,2015
4669.0,0,4,8,2015
4416.0,0,5,8,2015
4400.0,0,6,8,2015
4399.0,0,7,8,2015
4356.0,0,1,8,2015
4255.0,0,2,8,2015
4223.0,0,3,8,2015
4742.0,0,4,8,2015
4484.0,0,5,8,2015
14166.0,0,7,8,2015
13222.0,0,1,8,2015
14209.0,0,2,9,2015
11667.0,0,3,9,2015
11628.0,0,4,9,2015
12386.0,0,5,9,2015
15476.0,0,6,9,2015
9506.0,0,7,9,2015
11643.0,0,1,9,2015
16442.0,0,2,9,2015
11801.0,0,3,9,2015
13370.0,0,4,9,2015
14689.0,0,5,9,2015
14276.0,0,6,9,2015
12164.0,0,7,9,2015
18544.0,0,1,9,2015
15079.0,0,2,9,2015
16945.0,0,3,9,2015
13770.0,0,4,9,2015
14901.0,0,5,9,2015
14373.0,0,6,9,2015
14513.0,0,7,9,2015
16483.0,0,1,9,2015
15317.0,0,2,9,2015
18052.0,0,3,9,2015
15013.0,0,4,9,2015
17110.0,0,5,9,2015
13808.0,0,6,9,2015
16135.0,0,7,9,2015
17603.0,0,1,9,2015
17563.0,0,2,9,2015
15303.0,0,3,9,2015
14760.0,0,4,10,2015
15880.0,0,5,10,2015
16860.0,0,6,10,2015
18857.0,0,7,10,2015
17833.0,0,1,10,2015
17708.0,0,2,10,2015
14524.0,0,3,10,2015
