value,hour,day,month,year
261.0,2,6,11,2015
236.0,2,7,11,2015
232.0,2,1,11,2015
153.0,1,2,12,2015
220.0,2,3,12,2015
204.0,1,4,12,2015
228.0,2,2,12,2015
175.0,1,3,12,2015
236.0,2,4,12,2015
189.0,1,5,12,2015
157.0,1,1,12,2015
243.0,2,2,12,2015
263.0,2,3,12,2015
186.0,1,4,12,2015
182.0,1,5,12,2015
289.0,3,6,12,2015
207.0,1,7,12,2015
191.0,1,1,12,2015
190.0,1,2,12,2015
106.0,0,3,12,2015
106.0,0,4,12,2015
153.0,1,5,12,2015
195.0,1,6,12,2015
201.0,1,7,12,2015
135.0,0,1,12,2015
291.0,3,2,12,2015
245.0,2,2,1,2016
187.0,1,3,1,2016
199.0,1,4,1,2016
126.0,0,5,1,2016
123.0,0,3,1,2016
256.0,2,4,1,2016
151.0,1,6,1,2016
295.0,3,1,1,2016
185.0,1,2,1,2016
224.0,2,3,1,2016
266.0,2,4,1,2016
238.0,2,6,1,2016
173.0,1,2,1,2016
201.0,1,3,1,2016
204.0,1,5,1,2016
131.0,0,6,1,2016
214.0,2,1,2,2016
269.0,2,2,2,2016
167.0,1,3,2,2016
299.0,3,4,2,2016
265.0,2,5,2,2016
182.0,1,2,2,2016
243.0,2,3,2,2016
142.0,0,5,2,2016
201.0,1,6,2,2016
247.0,2,7,2,2016
255.0,2,1,2,2016
139.0,0,3,2,2016
171.0,1,1,2,2016
221.0,2,2,2,2016
220.0,2,3,2,2016
250.0,2,4,2,2016
129.0,0,5,2,2016
182.0,1,6,2,2016
209.0,1,7,2,2016
289.0,3,1,2,2016
106.0,0,2,3,2016
90.0,0,3,3,2016
164.0,1,5,3,2016
262.0,2,7,3,2016
176.0,1,2,3,2016
215.0,2,4,3,2016
283.0,3,5,3,2016
283.0,3,6,3,2016
235.0,2,1,3,2016
171.0,1,3,3,2016
195.0,1,4,3,2016
222.0,2,5,3,2016
212.0,2,7,3,2016
191.0,1,1,3,2016
259.0,2,2,3,2016
95.0,0,3,3,2016
167.0,1,4,3,2016
154.0,1,5,3,2016
118.0,0,6,3,2016
184.0,1,1,3,2016
140.0,0,3,3,2016
183.0,1,4,3,2016
187.0,1,5,4,2016
254.0,2,6,4,2016
254.0,2,7,4,2016
248.0,2,1,4,2016
230.0,2,2,4,2016
213.0,2,3,4,2016
227.0,2,4,4,2016
203.0,1,5,4,2016
118.0,0,6,4,2016
199.0,1,2,4,2016
232.0,2,3,4,2016
233.0,2,5,4,2016
242.0,2,6,4,2016
222.0,2,1,4,2016
251.0,2,2,4,2016
156.0,1,3,4,2016
234.0,2,4,4,2016
251.0,2,5,4,2016
237.0,2,6,4,2016
121.0,0,7,4,2016
240.0,2,2,4,2016
207.0,1,3,4,2016
175.0,1,4,4,2016
260.0,2,5,4,2016
277.0,3,7,5,2016
227.0,2,1,5,2016
230.0,2,2,5,2016
125.0,0,3,5,2016
103.0,0,2,5,2016
148.0,0,3,5,2016
123.0,0,5,5,2016
190.0,1,1,5,2016
101.0,0,3,5,2016
172.0,1,4,5,2016
258.0,2,5,5,2016
133.0,0,6,5,2016
169.0,1,3,5,2016
196.0,1,4,5,2016
111.0,0,6,5,2016
224.0,2,1,5,2016
175.0,1,2,5,2016
128.0,0,3,6,2016
200.0,1,4,6,2016
145.0,0,5,6,2016
272.0,3,6,6,2016
229.0,2,2,6,2016
124.0,0,3,6,2016
128.0,0,4,6,2016
175.0,1,6,6,2016
131.0,0,1,6,2016
166.0,1,2,6,2016
164.0,1,4,6,2016
106.0,0,5,6,2016
233.0,2,1,6,2016
94.0,0,2,6,2016
229.0,2,4,6,2016
158.0,1,6,6,2016
155.0,1,1,6,2016
101.0,0,2,6,2016
110.0,0,5,7,2016
143.0,0,6,7,2016
113.0,0,7,7,2016
157.0,1,5,7,2016
134.0,0,6,7,2016
184.0,1,1,7,2016
111.0,0,2,7,2016
130.0,0,3,7,2016
101.0,0,6,7,2016
172.0,1,1,7,2016
97.0,0,2,7,2016
117.0,0,3,7,2016
118.0,0,5,7,2016
145.0,0,5,7,2016
122.0,0,1,8,2016
119.0,0,2,8,2016
188.0,1,6,8,2016
153.0,1,5,8,2016
102.0,0,3,8,2016
123.0,0,4,9,2016
138.0,0,5,9,2016
127.0,0,6,9,2016
98.0,0,7,9,2016
160.0,1,1,9,2016
133.0,0,2,9,2016
126.0,0,3,9,2016
118.0,0,4,9,2016
103.0,0,5,9,2016
124.0,0,6,9,2016
